track_name,latitude,longitude,color
CT,37.3523485,-107.9353113,#00AA00
CT,37.3523657,-107.9353654,#00AA00
CT,37.3523863,-107.9354087,#00AA00
CT,37.3524104,-107.9354369,#00AA00
CT,37.3524551,-107.935452,#00AA00
CT,37.3524723,-107.9354975,#00AA00
CT,37.3524534,-107.9355862,#00AA00
CT,37.3524947,-107.9356317,#00AA00
CT,37.352536,-107.9356317,#00AA00
CT,37.3525773,-107.9356468,#00AA00
CT,37.3526341,-107.9356836,#00AA00
CT,37.3526857,-107.9356923,#00AA00
CT,37.3527442,-107.9357442,#00AA00
CT,37.3527958,-107.9358048,#00AA00
CT,37.3528543,-107.9358546,#00AA00
CT,37.3529249,-107.9358936,#00AA00
CT,37.3529885,-107.9359066,#00AA00
CT,37.3530161,-107.9359369,#00AA00
CT,37.3530608,-107.935978,#00AA00
CT,37.3530952,-107.9359997,#00AA00
CT,37.3531262,-107.9360473,#00AA00
CT,37.353195,-107.9360689,#00AA00
CT,37.3532363,-107.9360624,#00AA00
CT,37.3532621,-107.93603,#00AA00
CT,37.3532931,-107.9360148,#00AA00
CT,37.3533258,-107.9360365,#00AA00
CT,37.3533636,-107.9360841,#00AA00
CT,37.3534462,-107.9361036,#00AA00
CT,37.3535082,-107.9361339,#00AA00
CT,37.3535409,-107.9361685,#00AA00
CT,37.353589,-107.9362075,#00AA00
CT,37.3536303,-107.9362248,#00AA00
CT,37.3536854,-107.9362248,#00AA00
CT,37.3537508,-107.9362551,#00AA00
CT,37.353823,-107.9362832,#00AA00
CT,37.3538764,-107.936294,#00AA00
CT,37.3539211,-107.9363352,#00AA00
CT,37.3539968,-107.9364196,#00AA00
CT,37.3540605,-107.936556,#00AA00
CT,37.3541293,-107.936688,#00AA00
CT,37.3541861,-107.9367248,#00AA00
CT,37.3543151,-107.9367789,#00AA00
CT,37.3544253,-107.9367789,#00AA00
CT,37.3545027,-107.9368049,#00AA00
CT,37.3545578,-107.9368612,#00AA00
CT,37.3545801,-107.9369412,#00AA00
CT,37.3545853,-107.9370213,#00AA00
CT,37.3546042,-107.9371664,#00AA00
CT,37.3546421,-107.937227,#00AA00
CT,37.3547505,-107.937398,#00AA00
CT,37.354852,-107.9375906,#00AA00
CT,37.3548812,-107.9377118,#00AA00
CT,37.354895,-107.9377833,#00AA00
CT,37.354907,-107.9379348,#00AA00
CT,37.3549122,-107.9380279,#00AA00
CT,37.3549019,-107.9381188,#00AA00
CT,37.3548726,-107.9382183,#00AA00
CT,37.3548158,-107.9383699,#00AA00
CT,37.3548021,-107.9384716,#00AA00
CT,37.3548176,-107.9386642,#00AA00
CT,37.3548262,-107.9388331,#00AA00
CT,37.3548313,-107.9389067,#00AA00
CT,37.3548571,-107.9389824,#00AA00
